Depth,Nodes,TimeMs,HistoryHitRate
8,341317,79,2.03
8,316053,84,2.04
8,628094,132,2.36
8,354345,81,2.76
8,371329,89,2.63
8,272796,68,2.99
8,302191,61,3.06
8,224578,46,2.50
8,167655,40,2.46
8,10349603,3179,0.22
8,11871138,3464,0.16
8,6937709,2022,0.07
8,4217251,1208,0.08
8,17566916,5597,0.18
8,31424465,10014,0.17
8,34938363,10679,0.21
8,36728534,10835,0.16
8,31841677,10443,0.14
8,9283428,2892,0.16
8,10163790,3297,0.25
8,23061138,6819,0.14
8,18247442,5176,0.21
8,7691907,2205,0.29
8,10223255,2854,0.18
8,14793591,4419,0.21
8,13184723,4154,0.26
8,15848702,4834,0.22
8,17137072,5134,0.24
8,8867464,2548,0.19
8,5176879,1560,0.15
8,4571959,1452,0.14
8,2892416,906,0.08
8,7159388,2286,0.21
8,5966051,1816,0.18
8,4192757,1246,0.10
8,4736931,1447,0.17
8,5829206,1650,0.11
8,4199199,1184,0.24
8,3390182,910,0.21
8,13128030,3390,0.19
8,2417636,803,0.32
8,800444,235,0.24
8,1535269,501,0.72
8,1337831,430,0.96
8,2493399,777,0.81
8,2419398,683,0.72
8,437843,131,0.79
8,210483,56,0.91
8,308386,87,1.24
8,1241078,337,1.78
8,738392,218,2.00
8,509274,172,2.69
8,827707,262,2.36
8,252516,86,1.66
8,62493,18,1.08
8,73255,21,0.74
8,64,1,0.00
8,40,1,0.00
8,6652127,2095,0.14
8,17299350,5439,0.07
8,8453285,2663,0.07
8,8448249,2493,0.12
8,13615895,3684,0.10
8,14619175,3755,0.10
8,5142867,1585,0.05
8,7401156,2071,0.09
8,11772360,3315,0.10
8,7922969,1995,0.07
8,5221716,1309,0.04
8,21036463,5204,0.06
8,272,1,0.00
8,280,1,0.00
8,10487635,2864,0.21
8,10505580,3042,0.25
8,8517830,2418,0.18
8,12867549,3670,0.24
8,13719726,3845,0.28
8,21039706,5809,0.22
8,25018959,6959,0.19
8,8457467,2267,0.12
8,5380900,1368,0.08
8,7623069,1982,0.07
8,5945005,1702,0.10
8,4407549,1342,0.12
8,7355207,2199,0.16
8,11966943,3181,0.21
8,7425479,2191,0.30
8,11852610,3366,0.36
8,11976617,3350,0.37
8,10056000,2695,0.23
8,6762580,1842,0.27
8,5733157,1662,0.25
8,8328704,2321,0.17
8,6952864,1885,0.24
8,6018159,1608,0.21
8,3904203,1098,0.27
8,2617103,677,0.18
8,4516536,1228,0.18
8,5117315,1348,0.20
8,2509061,646,0.19
8,5791397,1559,0.26
8,4928776,1293,0.17
8,4146147,1075,0.13
8,5548084,1525,0.22
8,2400748,720,0.16
8,4460791,1206,0.17
8,6238867,1647,0.24
8,4524097,1235,0.26
8,4101270,1142,0.27
8,4602169,1191,0.17
8,4286238,1099,0.20
8,4723763,1071,0.12
8,2055572,572,0.15
8,2778771,773,0.15
8,2467156,621,0.12
8,404783,128,0.30
8,1403865,374,0.49
8,1046062,300,0.46
8,882668,230,0.44
8,560879,156,0.40
8,748934,206,0.56
8,1160081,286,0.36
8,1016435,267,0.50
8,851001,218,0.40
8,208,1,0.00
8,208,1,0.00
8,4285347,1170,0.15
8,6698241,1906,0.13
8,6119672,1750,0.16
8,9177397,2510,0.10
8,4461331,1407,0.06
8,25595166,6804,0.11
8,22288542,6281,0.18
8,15513004,4151,0.13
8,7346733,2218,0.08
8,7032782,2383,0.15
8,1505125,477,0.22
8,10947447,3277,0.19
8,9444329,2590,0.35
8,11284166,3230,0.38
8,6740119,1906,0.27
8,7145526,2022,0.19
8,1533202,424,0.23
8,7156390,2174,0.35
8,10969623,3143,0.29
8,10738248,3142,0.27
8,3490829,1146,0.29
8,1758963,488,0.27
8,1536406,440,0.36
8,5723055,1341,0.19
8,1602501,447,0.18
8,2054184,483,0.13
8,590991,216,0.44
8,2145275,581,0.29
8,1088885,302,0.41
8,396248,107,0.49
8,547855,150,0.67
8,451586,132,0.52
8,62805,24,0.43
8,170148,42,0.51
8,233745,37,1.04
8,186106,33,0.76
8,147309,31,0.48
8,7388713,2287,0.13
8,10580186,3173,0.12
8,7543449,2150,0.10
8,8685038,2547,0.16
8,5342590,1876,0.15
8,6349789,2063,0.13
8,14521752,4695,0.17
8,20295992,6136,0.20
8,5553557,1888,0.12
8,5194778,1967,0.14
8,4313377,1537,0.12
8,10163598,3570,0.24
8,8870906,3355,0.18
8,16129467,6187,0.15
8,12675189,4131,0.10
8,20632809,7172,0.11
8,12742222,3521,0.08
8,17305511,5101,0.12
8,22217703,6351,0.10
8,19721162,5771,0.09
8,26559857,8094,0.16
8,26570354,8285,0.14
8,16632014,4284,0.05
8,7956470,2462,0.08
8,15819696,4431,0.07
8,6162510,2044,0.06
8,5887145,1654,0.03
8,7007094,2121,0.05
8,886483,215,0.06
8,2293796,642,0.21
8,3123547,911,0.22
8,4276343,1097,0.13
8,2596259,709,0.27
8,2707238,753,0.44
8,848184,234,0.54
8,775915,181,0.55
8,1116346,253,0.52
8,726633,195,0.63
8,1427918,398,0.68
8,1207351,292,0.39
8,1043255,269,0.60
8,1049484,265,0.46
8,69049,17,0.41
8,257581,71,0.78
8,128107,39,1.16
8,227224,57,0.86
8,465605,113,0.95
8,204827,56,0.62
8,164999,50,0.54
8,286563,81,0.91
8,204761,62,1.39
8,94074,32,1.75
8,94720,25,1.64
8,54346,21,2.18
8,131835,34,1.28
8,84244,19,1.61
8,51419,13,1.86
8,25930,5,1.65
8,81073,13,1.69
8,171226,26,0.96
8,232528,39,1.13
8,1899938,346,0.84
8,598297,99,0.98
8,816171,145,1.04
8,731065,108,0.91
8,520151,99,0.64
8,6976936,2010,0.10
8,8600354,2479,0.07
8,21304639,6192,0.13
8,8618217,2422,0.09
8,16929879,4810,0.12
8,11019312,3131,0.08
8,14652305,4170,0.09
8,33727390,9327,0.08
8,13261116,3901,0.04
8,11722918,3649,0.05
8,11952398,3397,0.05
8,12530624,3572,0.06
8,11537915,3570,0.14
8,20603301,6316,0.17
8,17414928,5594,0.12
8,15819500,5298,0.08
8,14400264,4541,0.09
8,23177274,7483,0.07
8,8746303,2645,0.02
8,15530000,4565,0.17
8,16342002,5259,0.22
8,31446597,9585,0.21
8,21241093,6551,0.19
8,34522814,10987,0.20
8,24070935,7687,0.14
8,11721152,2771,0.06
8,20092703,4201,0.04
8,15070871,3641,0.06
8,10571725,2921,0.05
8,5386164,1169,0.11
8,211120,61,0.14
8,32,1,0.00
8,24,1,0.00
